age;job;marital;education;default;;
30;management;single;tertiary;no;;
31;self-employed;single;secondary;no;;
28;technician;single;tertiary;no;;
26;admin.;single;secondary;no;;
31;technician;single;secondary;no;;
50;housemaid;divorced;primary;no;;
45;entrepreneur;married;primary;no;;
48;management;married;primary;no;;
41;technician;married;secondary;no;;
60;technician;married;primary;no;;
41;blue-collar;married;secondary;no;;
43;blue-collar;married;primary;no;;
36;management;married;tertiary;no;;
40;blue-collar;married;primary;no;;
28;management;single;tertiary;no;;
27;student;single;tertiary;no;;
49;management;single;secondary;no;;
37;technician;married;tertiary;no;;
31;blue-collar;married;secondary;no;;
31;technician;single;secondary;yes;;
31;blue-collar;married;secondary;no;;
35;blue-collar;married;primary;no;;
51;blue-collar;divorced;unknown;no;;
33;technician;single;secondary;no;;
30;technician;single;tertiary;no;;
58;technician;single;secondary;no;;
34;admin.;married;tertiary;no;;
45;management;married;tertiary;no;;
28;services;single;secondary;no;;
31;blue-collar;married;primary;no;;
40;management;married;tertiary;no;;
30;services;single;secondary;no;;
34;entrepreneur;married;secondary;no;;
40;blue-collar;married;secondary;no;;
59;retired;married;primary;no;;
43;technician;single;tertiary;no;;
41;management;married;tertiary;no;;
33;technician;divorced;secondary;no;;
33;management;married;secondary;no;;
36;blue-collar;married;secondary;no;;
32;self-employed;single;secondary;no;;
25;admin.;married;secondary;no;;
25;blue-collar;married;secondary;no;;
38;technician;single;tertiary;no;;
34;management;married;tertiary;no;;
32;blue-collar;married;secondary;no;;
45;housemaid;married;primary;no;;
33;blue-collar;married;primary;no;;
38;admin.;married;primary;no;;
32;technician;divorced;secondary;no;;
54;retired;divorced;tertiary;no;;
51;admin.;divorced;secondary;no;;
42;blue-collar;married;primary;no;;
41;admin.;married;secondary;no;;
39;management;divorced;tertiary;no;;
38;blue-collar;married;secondary;no;;
39;management;married;secondary;no;;
46;blue-collar;married;primary;no;;
50;entrepreneur;divorced;tertiary;no;;
33;blue-collar;married;secondary;no;;
37;technician;married;secondary;no;;
31;management;married;tertiary;no;;
34;blue-collar;divorced;unknown;no;;
34;management;married;tertiary;no;;
36;management;married;tertiary;no;;
40;technician;married;secondary;no;;
40;blue-collar;married;secondary;no;;
41;technician;married;secondary;no;;
52;management;married;tertiary;no;;
40;services;single;secondary;no;;
48;blue-collar;single;unknown;no;;
33;management;divorced;secondary;no;;
44;technician;divorced;secondary;no;;
55;management;married;tertiary;no;;
51;admin.;married;secondary;no;;
34;management;single;tertiary;no;;
58;retired;divorced;unknown;no;;
39;management;single;tertiary;no;;
27;unemployed;single;secondary;no;;
55;management;divorced;unknown;no;;
35;technician;single;secondary;no;;
37;technician;single;tertiary;no;;
52;technician;married;secondary;no;;
41;blue-collar;married;secondary;no;;
52;admin.;married;secondary;no;;
34;blue-collar;single;secondary;no;;
53;management;divorced;primary;no;;
33;management;single;tertiary;no;;
47;self-employed;married;secondary;no;;
35;blue-collar;married;secondary;no;;
33;management;single;tertiary;no;;
55;blue-collar;married;primary;no;;
58;self-employed;married;primary;no;;
44;admin.;married;secondary;no;;
25;services;single;secondary;no;;
37;technician;single;secondary;no;;
41;blue-collar;married;primary;no;;
34;blue-collar;single;secondary;no;;
36;services;divorced;secondary;no;;
44;self-employed;married;tertiary;no;;
34;entrepreneur;divorced;tertiary;no;;
56;blue-collar;divorced;primary;no;;
43;management;divorced;tertiary;no;;
28;blue-collar;single;secondary;no;;
54;blue-collar;married;secondary;no;;
37;technician;divorced;secondary;no;;
59;self-employed;married;tertiary;no;;
58;blue-collar;divorced;secondary;no;;
56;management;divorced;tertiary;no;;
32;blue-collar;single;secondary;no;;
42;management;single;tertiary;no;;
52;retired;divorced;primary;no;;
46;management;married;tertiary;no;;
37;admin.;married;tertiary;no;;
39;blue-collar;married;primary;no;;
31;admin.;married;secondary;no;;
59;housemaid;married;primary;no;;
38;blue-collar;married;secondary;no;;
58;management;married;secondary;no;;
34;management;single;tertiary;no;;
40;services;married;secondary;no;;
20;student;single;secondary;no;;
34;technician;married;secondary;no;;
31;technician;single;tertiary;no;;
39;admin.;single;secondary;no;;
34;entrepreneur;married;tertiary;no;;
24;blue-collar;married;secondary;no;;
41;management;married;tertiary;no;;
40;management;married;tertiary;no;;
45;technician;single;secondary;no;;
36;management;married;tertiary;no;;
53;management;married;tertiary;no;;
23;student;single;secondary;no;;
42;entrepreneur;married;primary;no;;
48;blue-collar;married;secondary;no;;
34;management;married;tertiary;no;;
36;admin.;married;secondary;no;;
43;retired;married;secondary;no;;
36;blue-collar;married;secondary;no;;
49;blue-collar;married;secondary;no;;
55;retired;married;secondary;no;;
53;retired;married;secondary;no;;
42;technician;married;secondary;no;;
45;admin.;married;secondary;no;;
31;blue-collar;married;secondary;no;;
32;admin.;married;tertiary;no;;
36;blue-collar;married;secondary;no;;
56;retired;married;secondary;no;;
46;admin.;married;secondary;no;;
41;housemaid;single;secondary;no;;
31;admin.;married;secondary;no;;
32;technician;married;secondary;no;;
38;management;married;tertiary;no;;
49;retired;single;primary;no;;
46;management;single;primary;no;;
29;technician;single;secondary;no;;
36;admin.;married;unknown;no;;
38;admin.;married;secondary;no;;
53;technician;married;secondary;no;;
43;management;married;tertiary;no;;
41;management;married;tertiary;no;;
42;management;single;secondary;no;;
55;blue-collar;divorced;secondary;no;;
39;admin.;divorced;secondary;no;;
30;admin.;single;secondary;no;;
41;blue-collar;married;secondary;no;;
44;unemployed;married;tertiary;no;;
58;management;married;tertiary;no;;
35;retired;married;primary;no;;
27;blue-collar;married;secondary;no;;
34;services;married;secondary;no;;
25;services;married;secondary;no;;
36;blue-collar;married;secondary;no;;
38;blue-collar;married;secondary;no;;
30;admin.;married;secondary;no;;
47;blue-collar;divorced;secondary;yes;;
41;services;divorced;secondary;no;;
36;management;single;tertiary;no;;
63;entrepreneur;married;secondary;no;;
23;management;single;tertiary;no;;
32;management;married;tertiary;no;;
57;retired;married;primary;no;;
48;management;married;tertiary;no;;
49;services;married;secondary;no;;
50;technician;married;secondary;no;;
33;blue-collar;married;primary;no;;
53;services;divorced;secondary;no;;
30;unemployed;married;tertiary;no;;
38;technician;married;secondary;no;;
44;management;married;secondary;no;;
39;admin.;single;secondary;no;;
45;technician;single;unknown;no;;
36;blue-collar;married;secondary;no;;
38;blue-collar;married;secondary;no;;
36;housemaid;married;secondary;no;;
30;management;single;tertiary;no;;
28;technician;divorced;tertiary;no;;
26;unemployed;married;tertiary;no;;
54;unknown;married;secondary;no;;
38;admin.;married;tertiary;no;;
32;technician;single;tertiary;no;;
50;admin.;divorced;secondary;no;;
43;blue-collar;married;secondary;no;;
48;admin.;married;secondary;no;;
57;housemaid;married;primary;no;;
64;housemaid;married;primary;no;;
26;services;divorced;secondary;no;;
33;blue-collar;married;secondary;no;;
50;self-employed;married;secondary;no;;
47;self-employed;married;tertiary;no;;
39;management;single;tertiary;no;;
52;services;married;primary;no;;
31;blue-collar;single;primary;no;;
50;blue-collar;married;primary;no;;
47;technician;married;secondary;no;;
30;management;single;tertiary;no;;
32;technician;single;tertiary;no;;
36;technician;married;secondary;no;;
46;technician;married;tertiary;no;;
45;management;divorced;tertiary;no;;
37;technician;single;secondary;no;;
58;housemaid;married;primary;no;;
59;management;married;tertiary;no;;
28;management;married;tertiary;no;;
48;management;married;tertiary;no;;
55;blue-collar;married;unknown;no;;
37;blue-collar;single;primary;no;;
41;management;married;tertiary;no;;
35;blue-collar;married;secondary;no;;
34;blue-collar;single;secondary;no;;
43;management;single;tertiary;no;;
59;technician;married;secondary;no;;
50;blue-collar;divorced;primary;no;;
37;technician;married;secondary;no;;
35;technician;married;secondary;no;;
50;technician;single;secondary;no;;
36;technician;divorced;secondary;no;;
41;admin.;married;secondary;no;;
28;management;married;tertiary;no;;
42;technician;single;tertiary;no;;
60;retired;married;secondary;no;;
28;management;single;tertiary;no;;
48;entrepreneur;married;secondary;no;;
51;entrepreneur;married;tertiary;no;;
32;technician;married;tertiary;no;;
35;technician;married;tertiary;no;;
37;technician;married;unknown;no;;
38;blue-collar;divorced;secondary;no;;
32;management;single;unknown;no;;
43;technician;divorced;secondary;no;;
36;management;single;tertiary;no;;
29;management;married;tertiary;no;;
32;admin.;single;secondary;no;;
41;management;divorced;tertiary;no;;
26;services;single;secondary;no;;
34;blue-collar;married;primary;no;;
57;retired;married;tertiary;no;;
36;services;single;secondary;no;;
42;blue-collar;married;secondary;no;;
35;technician;divorced;secondary;no;;
52;entrepreneur;divorced;primary;no;;
36;management;single;tertiary;no;;
46;technician;married;secondary;no;;
60;management;divorced;tertiary;no;;
57;housemaid;married;primary;no;;
48;management;married;tertiary;no;;
59;self-employed;married;primary;no;;
39;management;married;tertiary;no;;
44;blue-collar;married;secondary;no;;
27;management;single;tertiary;no;;
59;retired;married;secondary;no;;
36;technician;divorced;secondary;no;;
44;admin.;married;secondary;no;;
50;admin.;married;secondary;no;;
41;management;divorced;tertiary;no;;
47;admin.;married;secondary;no;;
32;technician;single;tertiary;no;;
38;blue-collar;married;secondary;no;;
55;blue-collar;married;unknown;no;;
38;management;single;tertiary;no;;
31;management;single;tertiary;no;;
38;blue-collar;divorced;secondary;no;;
29;unemployed;single;tertiary;no;;
55;services;married;secondary;no;;
35;unemployed;married;secondary;no;;
40;self-employed;single;tertiary;no;;
34;blue-collar;married;secondary;no;;
32;technician;single;tertiary;no;;
33;blue-collar;married;secondary;no;;
33;management;married;tertiary;no;;
37;admin.;married;secondary;no;;
58;management;married;tertiary;no;;
36;admin.;single;secondary;no;;
42;blue-collar;married;secondary;no;;
34;technician;single;secondary;no;;
35;management;married;tertiary;no;;
60;housemaid;married;primary;no;;
50;management;married;tertiary;no;;
28;self-employed;single;tertiary;no;;
27;blue-collar;divorced;secondary;no;;
37;management;married;tertiary;no;;
31;technician;married;tertiary;no;;
34;services;married;secondary;no;;
38;management;married;tertiary;no;;
32;self-employed;married;secondary;no;;
37;technician;married;secondary;no;;
33;admin.;married;secondary;no;;
27;technician;married;secondary;no;;
38;blue-collar;married;primary;no;;
34;technician;single;secondary;no;;
54;retired;divorced;tertiary;no;;
30;blue-collar;married;secondary;no;;
35;entrepreneur;single;secondary;no;;
33;blue-collar;single;secondary;no;;
36;management;married;secondary;no;;
59;self-employed;married;tertiary;no;;
64;management;married;tertiary;no;;
53;technician;divorced;secondary;no;;
35;management;single;tertiary;no;;
58;self-employed;married;secondary;no;;
40;technician;married;secondary;no;;
41;services;divorced;secondary;no;;
48;retired;married;primary;no;;
44;entrepreneur;married;tertiary;no;;
39;blue-collar;married;unknown;no;;
61;management;married;tertiary;no;;
36;entrepreneur;married;primary;no;;
28;management;married;tertiary;no;;
58;retired;single;secondary;no;;
60;admin.;divorced;secondary;no;;
36;management;single;tertiary;no;;
49;self-employed;married;secondary;no;;
40;services;married;secondary;no;;
23;technician;single;secondary;no;;
29;management;single;tertiary;no;;
44;blue-collar;married;primary;no;;
54;unknown;married;unknown;no;;
47;blue-collar;married;primary;no;;
33;admin.;married;tertiary;no;;
30;self-employed;married;secondary;no;;
27;admin.;single;secondary;no;;
49;management;divorced;tertiary;no;;
27;services;single;secondary;no;;
51;blue-collar;married;secondary;no;;
32;admin.;divorced;secondary;yes;;
30;blue-collar;single;secondary;no;;
33;admin.;married;secondary;no;;
27;blue-collar;single;primary;no;;
37;services;divorced;secondary;no;;
36;technician;single;secondary;no;;
37;blue-collar;married;secondary;no;;
35;management;married;tertiary;no;;
32;services;married;secondary;no;;
32;admin.;single;secondary;no;;
35;admin.;married;primary;no;;
31;blue-collar;married;primary;no;;
28;blue-collar;single;secondary;no;;
27;services;married;secondary;no;;
22;student;single;unknown;no;;
35;blue-collar;married;primary;no;;
37;entrepreneur;single;tertiary;no;;
45;admin.;single;secondary;no;;
47;management;married;tertiary;no;;
52;management;married;tertiary;no;;
33;services;married;secondary;no;;
60;blue-collar;married;primary;no;;
33;management;divorced;secondary;no;;
44;admin.;married;secondary;no;;
38;entrepreneur;married;secondary;no;;
54;entrepreneur;married;secondary;no;;
32;unemployed;divorced;primary;no;;
33;technician;married;secondary;no;;
55;services;divorced;secondary;no;;
51;blue-collar;married;primary;no;;
48;blue-collar;married;secondary;no;;
37;services;single;secondary;no;;
33;services;single;secondary;no;;
30;blue-collar;married;primary;no;;
43;blue-collar;married;primary;no;;
49;technician;married;secondary;no;;
54;unemployed;married;primary;no;;
31;unemployed;married;tertiary;no;;
54;unknown;married;unknown;no;;
36;unemployed;married;secondary;no;;
30;admin.;married;secondary;no;;
27;technician;single;secondary;no;;
30;admin.;married;secondary;no;;
30;blue-collar;married;secondary;no;;
35;technician;divorced;secondary;no;;
33;services;divorced;secondary;no;;
43;blue-collar;divorced;primary;no;;
41;blue-collar;married;secondary;no;;
41;management;divorced;tertiary;no;;
46;admin.;divorced;secondary;no;;
54;blue-collar;married;secondary;no;;
32;management;married;tertiary;no;;
30;technician;single;tertiary;no;;
40;entrepreneur;married;primary;no;;
30;blue-collar;married;primary;no;;
27;admin.;married;secondary;no;;
41;blue-collar;married;primary;no;;
54;services;married;secondary;no;;
32;management;single;tertiary;no;;
31;management;married;tertiary;no;;
42;blue-collar;married;secondary;no;;
48;admin.;married;primary;no;;
34;blue-collar;married;primary;no;;
55;technician;divorced;secondary;no;;
49;technician;married;secondary;no;;
46;management;divorced;tertiary;no;;
47;entrepreneur;married;unknown;no;;
24;management;single;tertiary;no;;
58;entrepreneur;married;secondary;no;;
32;management;single;tertiary;no;;
25;student;single;secondary;no;;
49;blue-collar;married;secondary;no;;
59;retired;divorced;secondary;no;;
30;management;single;tertiary;no;;
46;blue-collar;married;secondary;no;;
42;management;married;unknown;no;;
37;entrepreneur;married;tertiary;no;;
44;blue-collar;married;primary;no;;
49;services;married;secondary;no;;
41;blue-collar;married;secondary;no;;
48;technician;married;tertiary;no;;
31;management;married;secondary;no;;
37;student;married;unknown;no;;
51;services;married;secondary;no;;
32;management;single;tertiary;no;;
48;services;married;primary;yes;;
49;blue-collar;married;tertiary;no;;
30;management;married;tertiary;no;;
27;self-employed;single;secondary;no;;
34;technician;married;secondary;no;;
49;management;married;secondary;no;;
48;management;married;tertiary;no;;
40;services;married;secondary;no;;
38;blue-collar;married;secondary;no;;
46;blue-collar;married;primary;no;;
41;entrepreneur;married;tertiary;no;;
28;management;single;tertiary;no;;
51;services;married;unknown;no;;
33;blue-collar;divorced;primary;no;;
26;management;single;tertiary;no;;
34;admin.;single;secondary;no;;
27;blue-collar;married;secondary;yes;;
42;self-employed;married;secondary;no;;
45;admin.;married;secondary;no;;
31;technician;single;secondary;no;;
32;management;single;tertiary;no;;
39;blue-collar;married;primary;no;;
26;blue-collar;single;secondary;no;;
40;management;single;tertiary;no;;
52;services;married;secondary;no;;
40;technician;single;tertiary;no;;
48;technician;married;secondary;no;;
31;services;married;secondary;no;;
27;admin.;married;secondary;no;;
47;technician;married;secondary;no;;
28;management;single;secondary;no;;
40;management;divorced;tertiary;no;;
34;admin.;married;secondary;no;;
29;self-employed;married;tertiary;no;;
36;management;married;tertiary;no;;
55;services;divorced;primary;no;;
43;management;divorced;tertiary;no;;
23;student;single;secondary;no;;
44;technician;married;tertiary;no;;
58;blue-collar;married;primary;no;;
29;admin.;single;secondary;no;;
30;management;single;tertiary;no;;
29;admin.;single;secondary;no;;
41;technician;married;secondary;no;;
35;housemaid;married;primary;no;;
31;technician;single;secondary;no;;
27;admin.;single;tertiary;no;;
47;services;married;secondary;no;;
53;self-employed;married;tertiary;no;;
34;management;married;tertiary;no;;
34;blue-collar;married;primary;no;;
36;management;married;tertiary;no;;
40;technician;married;secondary;no;;
37;self-employed;single;tertiary;no;;
53;technician;divorced;secondary;no;;
28;technician;single;secondary;no;;
33;technician;divorced;tertiary;no;;
56;blue-collar;married;primary;no;;
45;self-employed;married;secondary;no;;
39;technician;married;secondary;no;;
28;management;single;tertiary;no;;
36;blue-collar;married;primary;no;;
41;blue-collar;married;primary;no;;
46;admin.;married;secondary;no;;
41;blue-collar;married;secondary;no;;
59;services;married;secondary;no;;
24;admin.;married;secondary;no;;
34;management;married;tertiary;no;;
40;blue-collar;married;primary;no;;
42;admin.;married;secondary;no;;
50;services;married;secondary;no;;
25;management;single;tertiary;no;;
51;services;divorced;secondary;no;;
50;management;married;tertiary;no;;
37;blue-collar;married;unknown;no;;
21;services;single;secondary;no;;
52;blue-collar;married;secondary;no;;
55;retired;married;primary;no;;
26;technician;single;secondary;no;;
38;technician;married;tertiary;no;;
32;blue-collar;married;secondary;no;;
31;blue-collar;married;secondary;no;;
34;technician;single;secondary;no;;
33;technician;single;tertiary;no;;
35;technician;married;secondary;no;;
44;management;married;unknown;no;;
48;management;divorced;tertiary;no;;
29;blue-collar;married;secondary;no;;
50;management;married;tertiary;no;;
37;blue-collar;married;primary;no;;
44;admin.;single;secondary;no;;
36;unemployed;single;tertiary;no;;
49;blue-collar;divorced;unknown;no;;
31;blue-collar;married;secondary;no;;
49;technician;divorced;secondary;no;;
35;blue-collar;single;secondary;no;;
57;admin.;divorced;unknown;no;;
42;blue-collar;married;primary;no;;
36;blue-collar;divorced;secondary;no;;
38;blue-collar;single;secondary;no;;
40;blue-collar;married;primary;yes;;
38;services;single;secondary;no;;
34;management;single;tertiary;no;;
29;technician;single;tertiary;no;;
28;admin.;married;secondary;no;;
51;admin.;divorced;secondary;no;;
32;student;single;tertiary;no;;
36;management;married;tertiary;no;;
38;entrepreneur;married;secondary;no;;
49;self-employed;married;secondary;no;;
42;services;married;secondary;no;;
43;blue-collar;married;primary;no;;
34;blue-collar;married;secondary;no;;
59;retired;single;secondary;no;;
35;unknown;married;primary;no;;
33;blue-collar;single;secondary;no;;
34;admin.;single;secondary;no;;
64;retired;married;secondary;no;;
34;entrepreneur;married;tertiary;no;;
57;retired;married;primary;no;;
30;blue-collar;married;secondary;no;;
56;housemaid;divorced;primary;yes;;
49;unknown;married;unknown;no;;
39;technician;single;secondary;no;;
57;technician;divorced;primary;no;;
32;self-employed;married;secondary;no;;
32;technician;single;tertiary;no;;
45;admin.;married;secondary;no;;
32;blue-collar;married;secondary;no;;
31;management;married;tertiary;no;;
49;self-employed;married;secondary;no;;
29;services;married;secondary;no;;
55;technician;married;secondary;no;;
30;admin.;married;secondary;no;;
45;services;single;primary;no;;
39;technician;married;tertiary;no;;
36;admin.;married;secondary;no;;
33;management;married;tertiary;no;;
36;management;married;tertiary;no;;
31;technician;single;secondary;no;;
36;technician;married;unknown;no;;
38;technician;single;tertiary;no;;
33;unknown;married;secondary;no;;
40;technician;married;secondary;no;;
31;blue-collar;married;secondary;no;;
39;services;married;secondary;no;;
33;admin.;married;tertiary;no;;
53;services;divorced;secondary;no;;
38;management;married;tertiary;no;;
59;technician;married;secondary;no;;
55;blue-collar;married;primary;no;;
38;technician;single;tertiary;no;;
48;services;married;secondary;no;;
53;blue-collar;married;secondary;no;;
44;admin.;divorced;secondary;no;;
57;management;married;tertiary;no;;
29;blue-collar;single;secondary;no;;
31;services;married;secondary;no;;
35;technician;single;tertiary;no;;
31;blue-collar;married;primary;no;;
35;self-employed;married;tertiary;no;;
40;management;single;secondary;no;;
39;blue-collar;married;secondary;no;;
43;technician;single;tertiary;no;;
44;entrepreneur;married;primary;no;;
29;technician;single;secondary;no;;
40;technician;married;secondary;no;;
33;entrepreneur;married;primary;no;;
46;management;married;tertiary;no;;
27;unknown;single;tertiary;no;;
26;admin.;single;secondary;no;;
41;technician;married;secondary;no;;
34;technician;married;tertiary;no;;
39;technician;single;tertiary;no;;
27;services;single;secondary;no;;
31;blue-collar;married;secondary;no;;
44;unemployed;single;secondary;no;;
55;retired;married;tertiary;no;;
51;blue-collar;divorced;primary;no;;
50;management;married;tertiary;no;;
30;services;married;secondary;no;;
46;technician;married;secondary;no;;
49;admin.;married;secondary;no;;
56;retired;married;secondary;no;;
47;admin.;divorced;secondary;no;;
30;admin.;married;secondary;no;;
36;entrepreneur;single;secondary;no;;
40;management;married;tertiary;no;;
37;technician;single;secondary;yes;;
42;admin.;divorced;secondary;no;;
45;technician;married;secondary;no;;
34;unemployed;single;secondary;no;;
27;admin.;single;secondary;no;;
30;blue-collar;married;secondary;no;;
32;technician;married;secondary;no;;
46;housemaid;married;primary;no;;
29;self-employed;married;tertiary;no;;
53;unknown;married;unknown;no;;
32;technician;married;secondary;no;;
49;unemployed;married;secondary;no;;
35;management;married;tertiary;no;;
38;blue-collar;married;secondary;no;;
39;entrepreneur;married;primary;no;;
34;technician;single;secondary;no;;
42;blue-collar;married;primary;no;;
35;blue-collar;single;unknown;no;;
60;admin.;married;secondary;no;;
57;technician;divorced;secondary;no;;
31;blue-collar;single;secondary;no;;
29;management;single;secondary;no;;
41;services;married;secondary;no;;
46;blue-collar;married;primary;no;;
33;technician;married;secondary;no;;
32;blue-collar;single;secondary;no;;
54;management;divorced;tertiary;no;;
37;services;married;secondary;no;;
32;technician;single;secondary;no;;
43;management;married;tertiary;no;;
50;blue-collar;divorced;secondary;no;;
34;blue-collar;married;secondary;no;;
31;admin.;divorced;secondary;no;;
43;self-employed;married;secondary;no;;
49;entrepreneur;married;secondary;no;;
22;student;single;unknown;no;;
35;management;married;tertiary;no;;
56;admin.;married;secondary;no;;
53;blue-collar;married;secondary;no;;
54;entrepreneur;married;tertiary;no;;
32;services;single;unknown;no;;
41;self-employed;married;secondary;no;;
40;blue-collar;married;secondary;no;;
33;blue-collar;married;primary;no;;
33;management;single;tertiary;no;;
34;blue-collar;married;secondary;no;;
36;services;married;secondary;no;;
34;entrepreneur;married;tertiary;no;;
55;management;married;primary;no;;
28;student;single;tertiary;no;;
29;admin.;single;secondary;no;;
31;admin.;single;secondary;no;;
52;management;married;tertiary;no;;
54;services;married;unknown;no;;
43;blue-collar;married;primary;no;;
55;entrepreneur;married;secondary;no;;
28;blue-collar;divorced;unknown;no;;
45;unemployed;divorced;secondary;no;;
45;entrepreneur;married;primary;no;;
51;management;married;tertiary;no;;
42;technician;single;secondary;no;;
43;unknown;single;unknown;no;;
34;management;married;tertiary;no;;
36;blue-collar;married;primary;no;;
37;blue-collar;married;secondary;no;;
50;blue-collar;married;secondary;no;;
42;management;divorced;unknown;no;;
34;blue-collar;single;primary;no;;
48;management;married;secondary;no;;
47;admin.;married;secondary;no;;
40;management;married;tertiary;no;;
37;management;married;tertiary;no;;
38;blue-collar;married;primary;no;;
29;technician;single;tertiary;no;;
46;blue-collar;married;primary;no;;
26;blue-collar;married;secondary;no;;
30;services;single;tertiary;no;;
42;blue-collar;married;secondary;no;;
42;management;single;tertiary;no;;
31;admin.;single;secondary;no;;
37;management;single;tertiary;no;;
26;blue-collar;married;secondary;no;;
54;blue-collar;married;unknown;no;;
29;self-employed;single;secondary;no;;
50;services;married;secondary;no;;
60;unemployed;divorced;secondary;no;;
32;technician;single;secondary;no;;
32;technician;married;secondary;no;;
34;self-employed;single;tertiary;no;;
48;services;single;primary;no;;
25;student;married;tertiary;no;;
32;management;married;secondary;no;;
32;blue-collar;married;primary;no;;
47;admin.;divorced;secondary;no;;
32;technician;married;unknown;no;;
49;management;single;tertiary;no;;
53;services;married;secondary;no;;
41;blue-collar;single;unknown;no;;
47;management;divorced;tertiary;no;;
35;blue-collar;married;primary;no;;
33;management;single;secondary;no;;
49;blue-collar;married;primary;no;;
46;management;divorced;tertiary;no;;
29;management;divorced;tertiary;no;;
58;self-employed;married;primary;no;;
40;admin.;single;secondary;no;;
34;management;married;tertiary;no;;
60;retired;married;primary;no;;
43;management;married;tertiary;no;;
50;blue-collar;married;primary;no;;
33;blue-collar;married;secondary;no;;
37;blue-collar;married;primary;no;;
55;self-employed;married;secondary;no;;
45;blue-collar;single;primary;yes;;
47;blue-collar;married;primary;no;;
58;technician;married;secondary;no;;
36;services;married;secondary;no;;
55;technician;married;secondary;no;;
31;blue-collar;married;secondary;no;;
38;technician;married;secondary;no;;
42;blue-collar;married;secondary;no;;
32;management;divorced;tertiary;no;;
39;blue-collar;married;secondary;no;;
41;technician;married;secondary;no;;
59;blue-collar;married;primary;no;;
42;unemployed;divorced;secondary;no;;
33;blue-collar;married;secondary;no;;
53;retired;married;secondary;no;;
43;blue-collar;married;primary;no;;
39;self-employed;single;tertiary;no;;
27;entrepreneur;single;secondary;no;;
39;management;married;tertiary;no;;
27;blue-collar;single;secondary;no;;
33;admin.;married;secondary;no;;
29;services;divorced;secondary;no;;
33;management;divorced;tertiary;no;;
41;entrepreneur;married;secondary;no;;
38;technician;single;tertiary;no;;
30;management;married;tertiary;no;;
58;unemployed;married;tertiary;no;;
37;services;single;secondary;no;;
36;admin.;divorced;secondary;no;;
45;blue-collar;married;primary;no;;
23;technician;single;secondary;no;;
53;blue-collar;married;primary;no;;
44;blue-collar;married;primary;no;;
32;technician;single;secondary;no;;
32;management;married;tertiary;no;;
38;admin.;married;tertiary;no;;
47;blue-collar;married;primary;no;;
34;services;single;secondary;no;;
52;services;married;secondary;no;;
45;admin.;single;secondary;no;;
50;blue-collar;married;primary;no;;
52;blue-collar;divorced;primary;no;;
37;blue-collar;married;secondary;no;;
51;blue-collar;married;secondary;no;;
32;management;married;tertiary;no;;
33;blue-collar;married;secondary;no;;
28;unemployed;married;secondary;no;;
31;services;single;secondary;no;;
35;blue-collar;married;primary;no;;
47;services;single;unknown;no;;
36;admin.;single;secondary;no;;
32;technician;single;tertiary;no;;
34;blue-collar;married;primary;no;;
40;admin.;married;secondary;no;;
33;self-employed;married;tertiary;no;;
39;blue-collar;married;secondary;no;;
38;self-employed;married;secondary;no;;
32;technician;single;secondary;no;;
34;unemployed;single;tertiary;no;;
34;admin.;single;primary;no;;
42;blue-collar;single;primary;no;;
31;services;married;secondary;no;;
47;technician;married;secondary;no;;
44;technician;divorced;secondary;no;;
38;housemaid;married;secondary;no;;
28;management;single;tertiary;no;;
46;admin.;single;secondary;no;;
51;blue-collar;divorced;primary;no;;
42;management;divorced;tertiary;no;;
37;technician;single;secondary;no;;
58;unemployed;married;tertiary;no;;
43;admin.;married;secondary;no;;
36;management;single;tertiary;no;;
34;blue-collar;married;secondary;no;;
31;management;single;tertiary;no;;
49;technician;married;unknown;no;;
54;management;married;tertiary;no;;
29;unemployed;single;secondary;no;;
51;retired;divorced;secondary;no;;
40;unemployed;divorced;secondary;no;;
35;management;single;tertiary;no;;
25;student;single;secondary;no;;
32;blue-collar;single;secondary;no;;
30;self-employed;married;secondary;no;;
38;management;married;tertiary;no;;
46;admin.;married;secondary;no;;
43;unemployed;married;primary;no;;
32;technician;single;tertiary;no;;
29;blue-collar;single;secondary;no;;
56;blue-collar;married;secondary;no;;
57;technician;married;primary;no;;
38;admin.;married;secondary;no;;
51;technician;married;primary;no;;
35;admin.;single;tertiary;no;;
37;blue-collar;married;primary;no;;
48;management;married;secondary;no;;
30;blue-collar;single;secondary;yes;;
60;retired;married;secondary;no;;
56;management;married;secondary;no;;
45;blue-collar;married;primary;no;;
38;technician;divorced;secondary;no;;
20;student;single;secondary;no;;
59;retired;married;primary;no;;
34;technician;married;tertiary;no;;
36;blue-collar;married;unknown;no;;
53;admin.;single;secondary;no;;
51;management;married;tertiary;no;;
58;retired;married;secondary;no;;
48;management;married;primary;no;;
56;management;married;tertiary;no;;
51;blue-collar;married;primary;no;;
35;blue-collar;married;secondary;no;;
40;admin.;single;secondary;no;;
59;housemaid;married;secondary;no;;
44;management;divorced;tertiary;no;;
49;housemaid;married;primary;no;;
35;admin.;married;tertiary;no;;
41;management;married;tertiary;no;;
55;retired;married;primary;no;;
51;self-employed;married;secondary;yes;;
27;services;single;secondary;no;;
57;blue-collar;married;primary;no;;
51;management;single;tertiary;no;;
38;management;married;tertiary;no;;
49;admin.;married;secondary;no;;
40;technician;single;tertiary;no;;
47;housemaid;single;tertiary;no;;
48;management;divorced;secondary;no;;
47;services;married;tertiary;no;;
56;services;married;secondary;no;;
